Product Name,GPU Chip,Release Date,Bus,Memory,GPU Clock,Memory Clock,Shaders/TMUs/ROPs
GeForce 7600 GT Mac Edition,G73,"Sep 2nd, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",560 MHz,700 MHz,12 / 5 / 12 / 8
GeForce Go 7200,G72,"Sep 1st, 2006",PCIe 1.0 x16,"64 MB, GDDR3, 32 bit",450 MHz,350 MHz,4 / 3 / 4 / 1
GeForce 7300 GT Mac Edition,G73,"Aug 26th, 2006",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",350 MHz,500 MHz,8 / 4 / 8 / 8
Quadro NVS 510M,G71,"Aug 21st, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",450 MHz,600 MHz,24 / 8 / 24 / 16
GeForce 7100 GS,NV44B,"Aug 8th, 2006",PCIe 1.0 x16,"128 MB, DDR2, 64 bit",350 MHz,266 MHz,4 / 3 / 4 / 2
GeForce 7950 GT,G71,"Aug 6th, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",550 MHz,700 MHz,24 / 8 / 24 / 16
GeForce Go 7600 GT,G73,"Aug 1st, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",500 MHz,600 MHz,12 / 5 / 12 / 8
GeForce Go 7700,G73,"Aug 1st, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 128 bit",450 MHz,500 MHz,12 / 5 / 12 / 8
GeForce 7600 GS AGP,G71,"Jul 1st, 2006",AGP 8x,"256 MB, GDDR3, 128 bit",500 MHz,725 MHz,12 / 5 / 12 / 8
GeForce 7600 GS AGP,G73,"Jul 1st, 2006",AGP 8x,"256 MB, DDR2, 128 bit",400 MHz,400 MHz,12 / 5 / 12 / 8
Quadro NVS 285,NV44,"Jun 6th, 2006",PCIe 1.0 x16,"128 MB, DDR2, 64 bit",275 MHz,300 MHz,4 / 3 / 4 / 2
GeForce 7950 GX2,G71,"Jun 5th, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",500 MHz,600 MHz,24 / 8 / 24 / 16
Quadro NVS 110M,G72,"Jun 1st, 2006",PCIe 1.0 x16,"512 MB, DDR, 64 bit",300 MHz,300 MHz,4 / 3 / 4 / 2
Quadro NVS 120M,G72,"Jun 1st, 2006",MXM-III,"512 MB, DDR2, 64 bit",450 MHz,700 MHz,4 / 3 / 4 / 2
Quadro NVS 300M,G73,"May 24th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",500 MHz,700 MHz,8 / 4 / 8 / 8
Quadro FX 3500,G71,"May 22nd, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",450 MHz,660 MHz,20 / 7 / 20 / 16
GeForce 7300 GT,G73,"May 15th, 2006",PCIe 1.0 x16,"128 MB, DDR2, 128 bit",350 MHz,325 MHz,8 / 4 / 8 / 8
GeForce 7300 GT AGP,G73,"May 15th, 2006",AGP 8x,"128 MB, DDR2, 128 bit",350 MHz,325 MHz,8 / 4 / 8 / 8
GeForce 7900 GS,G71,"May 1st, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",450 MHz,660 MHz,20 / 7 / 20 / 16
GeForce 7900 GX2,G71,"Apr 30th, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",500 MHz,600 MHz,24 / 8 / 24 / 16
Quadro FX 4500 X2,G71,"Apr 24th, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",500 MHz,605 MHz,24 / 8 / 24 / 16
Quadro FX 1500,G71,"Apr 20th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",325 MHz,625 MHz,16 / 6 / 16 / 16
Quadro FX 350,G72,"Apr 20th, 2006",PCIe 1.0 x16,"128 MB, DDR2, 64 bit",550 MHz,405 MHz,4 / 3 / 4 / 2
Quadro FX 550,NV43,"Apr 20th, 2006",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",360 MHz,400 MHz,8 / 4 / 8 / 8
Quadro FX 5500,G71,"Apr 20th, 2006",PCIe 1.0 x16,"1024 MB, DDR2, 256 bit",650 MHz,505 MHz,24 / 8 / 24 / 16
Quadro FX 5500 SDI,G71,"Apr 20th, 2006",PCIe 1.0 x16,"1024 MB, GDDR3, 256 bit",650 MHz,505 MHz,24 / 8 / 24 / 16
Quadro FX 560,G73,"Apr 20th, 2006",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",350 MHz,600 MHz,12 / 5 / 12 / 8
GeForce Go 7900 GS,G71,"Apr 18th, 2006",MXM-II,"512 MB, GDDR3, 256 bit",375 MHz,500 MHz,20 / 7 / 20 / 16
GeForce Go 7900 GTX,G71,"Apr 18th, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",500 MHz,600 MHz,24 / 8 / 24 / 16
GeForce Go 7900 SE,G73,"Apr 18th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",350 MHz,333 MHz,12 / 5 / 12 / 8
Quadro FX 1500M,G71,"Apr 18th, 2006",MXM-II,"512 MB, GDDR3, 256 bit",375 MHz,500 MHz,20 / 7 / 20 / 16
GeForce 7900 GS AGP,G71,"Apr 2nd, 2006",AGP 8x,"256 MB, GDDR3, 256 bit",450 MHz,660 MHz,20 / 7 / 20 / 16
GeForce 7300 LE,G72,"Mar 22nd, 2006",PCIe 1.0 x16,"128 MB, DDR2, 64 bit",450 MHz,324 MHz,4 / 3 / 4 / 2
GeForce 7300 SE,G72,"Mar 22nd, 2006",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",450 MHz,266 MHz,4 / 3 / 4 / 2
GeForce 7350 LE,G72,"Mar 22nd, 2006",PCIe 1.0 x16,"128 MB, DDR2, 64 bit",450 MHz,400 MHz,4 / 3 / 4 / 2
GeForce 7500 LE,G72,"Mar 22nd, 2006",PCIe 1.0 x16,"64 MB, DDR2, 64 bit",475 MHz,405 MHz,8 / 5 / 8 / 4
GeForce 7600 GS,G73,"Mar 22nd, 2006",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",400 MHz,400 MHz,12 / 5 / 12 / 8
GeForce 7600 LE,G73,"Mar 22nd, 2006",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",400 MHz,400 MHz,8 / 4 / 8 / 8
GeForce 7650 GS,G73,"Mar 22nd, 2006",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",450 MHz,400 MHz,12 / 5 / 12 / 8
Quadro FX 350M,G72,"Mar 13th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",450 MHz,450 MHz,4 / 3 / 4 / 2
Quadro FX 550M,G73,"Mar 13th, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 128 bit",480 MHz,500 MHz,12 / 5 / 12 / 8
GeForce 7600 GT,G73,"Mar 9th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",560 MHz,700 MHz,12 / 5 / 12 / 8
GeForce 7900 GT,G71,"Mar 9th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",450 MHz,660 MHz,24 / 8 / 24 / 16
GeForce 7900 GTX,G71,"Mar 9th, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",650 MHz,800 MHz,24 / 8 / 24 / 16
GeForce Go 7800,G70,"Mar 3rd, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",400 MHz,550 MHz,16 / 6 / 16 / 16
GeForce Go 7600,G73,"Mar 1st, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",450 MHz,350 MHz,8 / 4 / 8 / 8
Quadro NVS 440,NV43,"Feb 14th, 2006",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",250 MHz,250 MHz,8 / 4 / 8 / 8
GeForce 7800 GS 20Pipes AGP,G70,"Feb 2nd, 2006",AGP 8x,"512 MB, GDDR3, 256 bit",425 MHz,625 MHz,20 / 7 / 20 / 16
GeForce 7800 GS 24Pipes AGP,G70,"Feb 2nd, 2006",AGP 8x,"512 MB, GDDR3, 256 bit",425 MHz,625 MHz,24 / 8 / 24 / 16
GeForce 7800 GS AGP,G70,"Feb 2nd, 2006",AGP 8x,"256 MB, GDDR3, 256 bit",375 MHz,600 MHz,16 / 6 / 16 / 8
GeForce Go 6100 + nForce Go 430,C51,"Feb 1st, 2006",PCIe 1.0 x16,System Shared,425 MHz,System Shared,2 / 1 / 2 / 1
GeForce Go 6150 + nForce Go 430,C51,"Feb 1st, 2006",PCIe 2.0 x1,System Shared,425 MHz,System Shared,2 / 1 / 2 / 1
GeForce Go 6200,NV44,"Feb 1st, 2006",PCIe 1.0 x16,"32 MB, DDR, 64 bit",300 MHz,300 MHz,4 / 3 / 4 / 2
GeForce Go 6250,NV44,"Feb 1st, 2006",PCIe 1.0 x16,"32 MB, DDR, 64 bit",400 MHz,350 MHz,4 / 3 / 4 / 2
GeForce Go 6400,NV44,"Feb 1st, 2006",PCIe 1.0 x16,"32 MB, DDR, 64 bit",400 MHz,350 MHz,4 / 3 / 4 / 2
GeForce Go 7300,G72,"Feb 1st, 2006",PCIe 1.0 x16,"64 MB, GDDR3, 64 bit",350 MHz,350 MHz,4 / 3 / 4 / 2
GeForce Go 7300T,G72,"Feb 1st, 2006",PCIe 1.0 x16,"64 MB, GDDR3, 64 bit",350 MHz,350 MHz,4 / 3 / 4 / 2
FireStream 9170,RV670,"Nov 8th, 2007",PCIe 2.0 x16,"2 GB, GDDR3, 256 bit",800 MHz,800 MHz,320 / 16 / 16
Radeon X800 GTO,R423,"Dec 29th, 2007",PCIe 1.0 x16,"128 MB, DDR, 256 bit",400 MHz,350 MHz,12 / 6 / 12 / 12
Mobility Radeon HD 2700,M76,"Dec 12th, 2007",MXM-II,"256 MB, GDDR3, 128 bit",700 MHz,700 MHz,120 / 8 / 4
Radeon HD 2900 PRO,R600,"Dec 12th, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",600 MHz,800 MHz,320 / 16 / 16
Radeon HD 3450,RV620,"Dec 10th, 2007",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",600 MHz,500 MHz,40 / 4 / 4
Radeon HD 3450 X2,RV620,"Dec 10th, 2007",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",600 MHz,500 MHz,40 / 4 / 4
Radeon X1650 GTO,RV530,"Dec 2nd, 2007",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",587 MHz,392 MHz,12 / 5 / 4 / 4
Radeon X1700 SE,RV560,"Nov 30th, 2007",PCIe 1.0 x16,"512 MB, DDR2, 128 bit",500 MHz,500 MHz,24 / 8 / 8 / 8
Radeon X1050 AGP,RV360,"Nov 25th, 2007",AGP 8x,"128 MB, DDR, 128 bit",250 MHz,203 MHz,4 / 2 / 4 / 4
Radeon X1650,RV516,"Nov 20th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",635 MHz,392 MHz,4 / 2 / 4 / 4
FireGL V7700,RV670,"Nov 19th, 2007",PCIe 2.0 x16,"512 MB, GDDR4, 256 bit",777 MHz,1126 MHz,320 / 16 / 16
Radeon HD 3850,RV670,"Nov 19th, 2007",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",668 MHz,830 MHz,320 / 16 / 16
Radeon HD 3870,RV670,"Nov 19th, 2007",PCIe 2.0 x16,"512 MB, GDDR4, 256 bit",777 MHz,1126 MHz,320 / 16 / 16
Radeon HD 3870 AGP,RV670,Never Released,AGP 8x,"512 MB, GDDR4, 256 bit",777 MHz,1126 MHz,320 / 16 / 16
Mobility Radeon X1600 Mac Edition,M56,"Nov 8th, 2007",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",398 MHz,396 MHz,12 / 5 / 4 / 4
Radeon X800 GT AGP,R420,"Nov 8th, 2007",AGP 8x,"256 MB, GDDR3, 256 bit",473 MHz,493 MHz,8 / 6 / 8 / 8
Radeon X800 GTO AGP,R420,"Nov 8th, 2007",AGP 8x,"256 MB, GDDR3, 256 bit",400 MHz,490 MHz,12 / 6 / 12 / 12
Radeon HD 2900 GT,R600,"Nov 6th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",601 MHz,800 MHz,240 / 12 / 12
Radeon X1700 FSC,RV535,"Nov 5th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",587 MHz,695 MHz,12 / 5 / 4 / 4
Xbox 360 GPU 80nm,Xenos Falcon,"Oct 27th, 2007",IGP,"512 MB, GDDR3, 128 bit",500 MHz,700 MHz,240 / 16 / 8
ES1000,ES1000,"Oct 18th, 2007",PCI,System Shared,200 MHz,System Shared,0 / 0 / 3 / 1
Radeon Xpress 1100 IGP,RC410,"Oct 17th, 2007",PCIe 1.0 x16,System Shared,300 MHz,System Shared,2 / 2 / 2 / 2
Radeon Xpress 1150 IGP,RS482,"Oct 17th, 2007",PCIe 1.0 x16,System Shared,400 MHz,System Shared,2 / 2 / 2 / 2
Radeon X1600 PRO AGP,RV530,"Oct 1st, 2007",AGP 8x,"256 MB, GDDR3, 128 bit",500 MHz,390 MHz,12 / 5 / 4 / 4
Radeon HD 2950 PRO,RV670,Never Released,PCIe 2.0 x16,"256 MB, GDDR3, 256 bit",600 MHz,600 MHz,320 / 16 / 16
Radeon HD 2950 XTX,RV670,Never Released,PCIe 2.0 x16,"512 MB, GDDR4, 256 bit",777 MHz,1126 MHz,320 / 16 / 16
FireGL V5600,RV630,"Aug 6th, 2007",PCIe 1.0 x16,"512 MB, GDDR4, 128 bit",800 MHz,1100 MHz,120 / 8 / 4
FireGL V7600,R600,"Aug 6th, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",600 MHz,800 MHz,320 / 16 / 16
FireGL V8650,R600,"Aug 6th, 2007",PCIe 1.0 x16,"2 GB, GDDR4, 512 bit",688 MHz,868 MHz,320 / 16 / 16
Mobility Radeon HD 2600 XT Mac Edition,M76,"Jul 26th, 2007",MXM-II,"256 MB, GDDR3, 128 bit",600 MHz,685 MHz,120 / 8 / 4
Radeon HD 2600 XT X2,RV630,"Jul 26th, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 128 bit",800 MHz,800 MHz,120 / 8 / 4
FireGL V3600,RV630,"Jun 28th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",600 MHz,500 MHz,120 / 8 / 4
Mobility Radeon HD 2400 XT Mac Edition,M74,"Jun 28th, 2007",PCIe 1.0 x16,"128 MB, GDDR3, 64 bit",650 MHz,800 MHz,40 / 4 / 4
Radeon E2400,RV610,"Jun 28th, 2007",MXM-II,"128 MB, GDDR3, 64 bit",600 MHz,700 MHz,40 / 4 / 4
Radeon HD 2400 PRO,RV610,"Jun 28th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",525 MHz,400 MHz,40 / 4 / 4
Radeon HD 2400 PRO AGP,RV610,"Jun 28th, 2007",AGP 8x,"256 MB, DDR2, 64 bit",525 MHz,400 MHz,40 / 4 / 4
Radeon HD 2400 PRO PCI,RV610,"Jun 28th, 2007",PCI,"512 MB, DDR2, 64 bit",525 MHz,400 MHz,40 / 4 / 4
Radeon HD 2400 XT,RV610,"Jun 28th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 64 bit",650 MHz,500 MHz,40 / 4 / 4
Radeon HD 2600 PRO,RV630,"Jun 28th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",600 MHz,500 MHz,120 / 8 / 4
Radeon HD 2600 PRO AGP,RV630,"Jun 28th, 2007",AGP 8x,"512 MB, DDR2, 128 bit",594 MHz,396 MHz,120 / 8 / 4
Radeon HD 2600 XT,RV630,"Jun 28th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",800 MHz,700 MHz,120 / 8 / 4
Radeon HD 2600 XT,RV630,"Jun 28th, 2007",PCIe 1.0 x16,"256 MB, GDDR4, 128 bit",800 MHz,1100 MHz,120 / 8 / 4
Radeon HD 2600 XT AGP,RV630,"Jun 28th, 2007",AGP 8x,"256 MB, GDDR3, 128 bit",800 MHz,800 MHz,120 / 8 / 4
Radeon HD 2600 XT AGP,RV635,"Jun 28th, 2007",AGP 8x,"256 MB, DDR2, 128 bit",722 MHz,405 MHz,120 / 8 / 4
Mobility Radeon X2500,M66,"Jun 1st, 2007",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",460 MHz,400 MHz,12 / 5 / 4 / 4
FireGL V8600,R600,"May 14th, 2007",PCIe 1.0 x16,"1024 MB, GDDR4, 512 bit",688 MHz,868 MHz,320 / 16 / 16
Mobility FireGL V5600,M76,"May 14th, 2007",PCIe 2.0 x16,"256 MB, GDDR3, 128 bit",500 MHz,400 MHz,120 / 8 / 4
Mobility Radeon HD 2400,M72,"May 14th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",450 MHz,400 MHz,40 / 4 / 4
Mobility Radeon HD 2400 XT,M74,"May 14th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",600 MHz,400 MHz,40 / 4 / 4
Mobility Radeon HD 2600,M76,"May 14th, 2007",MXM-II,"256 MB, DDR2, 128 bit",500 MHz,400 MHz,120 / 8 / 4
Mobility Radeon HD 2600 XT,M76,"May 14th, 2007",MXM-II,"256 MB, GDDR3, 128 bit",680 MHz,750 MHz,120 / 8 / 4
Radeon HD 2900 XT,R600,"May 14th, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 512 bit",743 MHz,828 MHz,320 / 16 / 16
Radeon X1650 GT,RV560,"May 1st, 2007",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",400 MHz,400 MHz,24 / 8 / 8 / 8
GMA X3500,Bearlake,"Aug 1st, 2007",FSB,System Shared,667 MHz,System Shared,8 / 1 / 8 / 1
GMA 3100,Bearlake,"May 9th, 2007",FSB,System Shared,400 MHz,System Shared,4 / 0 / 4 / 4
GMA 3100,Bearlake,"May 9th, 2007",FSB,System Shared,400 MHz,System Shared,8 / 1 / 8 / 1
GMA 3100,Bearlake,"May 9th, 2007",FSB,System Shared,400 MHz,System Shared,4 / 0 / 4 / 4
GMA 3150,Pineview,"May 9th, 2007",PCI,System Shared,400 MHz,System Shared,16 / 2 / 1
GMA 3150,Pineview,"May 9th, 2007",FSB,System Shared,400 MHz,System Shared,16 / 2 / 1
GMA X3100,Crestline,"May 9th, 2007",FSB,System Shared,500 MHz,System Shared,8 / 1 / 8 / 1
GMA X3100,Broadwater,"May 9th, 2007",FSB,System Shared,500 MHz,System Shared,8 / 1 / 8 / 1
GeForce 8600M GT,G84,"Dec 31st, 2007",MXM-II,"512 MB, DDR2, 128 bit",475 MHz,400 MHz,32 / 16 / 8
GeForce 8800 GTS 512,G92,"Dec 11th, 2007",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",650 MHz,820 MHz,128 / 64 / 16
GeForce 8400,G98,"Dec 4th, 2007",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",540 MHz,500 MHz,8 / 4 / 4
GeForce 8400 GS PCI,G98,"Dec 4th, 2007",PCI,"512 MB, DDR2, 64 bit",567 MHz,333 MHz,8 / 4 / 4
GeForce 8400 GS Rev. 2,G98,"Dec 4th, 2007",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",567 MHz,400 MHz,8 / 4 / 4
GeForce 8800 GTS Core 112,G80,"Nov 19th, 2007",PCIe 1.0 x16,"640 MB, GDDR3, 320 bit",500 MHz,800 MHz,112 / 28 / 20
GeForce 7150 + nForce 630i,C73,"Nov 16th, 2007",PCI,System Shared,630 MHz,System Shared,2 / 1 / 2 / 2
GeForce 7150M + nForce 630M,C67,"Nov 16th, 2007",PCIe 1.0 x16,System Shared,425 MHz,System Shared,2 / 1 / 2 / 2
GeForce 8800M GTS,G92,"Nov 1st, 2007",MXM-HE,"512 MB, GDDR3, 256 bit",500 MHz,800 MHz,64 / 32 / 16
GeForce 8800M GTX,G92,"Nov 1st, 2007",MXM-HE,"512 MB, GDDR3, 256 bit",500 MHz,800 MHz,96 / 48 / 16
GeForce 8800 GT,G92,"Oct 29th, 2007",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",600 MHz,900 MHz,112 / 56 / 16
GeForce 8600M GT Mac Edition,G84,"Oct 5th, 2007",MXM-II,"512 MB, GDDR3, 128 bit",470 MHz,635 MHz,32 / 16 / 8
GeForce 7050 + nForce 620i,C73,"Oct 4th, 2007",PCI,System Shared,500 MHz,System Shared,2 / 1 / 2 / 2
GeForce 7050 + nForce 630i,C73,"Oct 4th, 2007",PCI,System Shared,500 MHz,System Shared,2 / 1 / 2 / 2
GeForce 7100 + nForce 630i,C73,"Oct 4th, 2007",PCI,System Shared,600 MHz,System Shared,4 / 1 / 2 / 2
Quadro NVS 290,G86,"Oct 4th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",459 MHz,400 MHz,16 / 8 / 4
GeForce 8600 GTS Mac Edition,G84,"Sep 21st, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 128 bit",675 MHz,1008 MHz,32 / 16 / 8
Quadro FX 1700,G84,"Sep 12th, 2007",PCIe 1.0 x16,"512 MB, DDR2, 256 bit",460 MHz,400 MHz,32 / 16 / 8
Quadro FX 370,G84,"Sep 12th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",360 MHz,500 MHz,16 / 8 / 4
Quadro FX 470,C79,"Sep 12th, 2007",PCI,System Shared,580 MHz,System Shared,16 / 8 / 4
Quadro FX 570,G84,"Sep 12th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",460 MHz,400 MHz,16 / 8 / 8
Quadro NVS 320M,G84,"Jun 9th, 2007",MXM-HE,"512 MB, GDDR3, 128 bit",575 MHz,700 MHz,32 / 16 / 8
GeForce 8700M GT,G84,"Jun 1st, 2007",MXM-HE,"512 MB, GDDR3, 128 bit",625 MHz,800 MHz,32 / 16 / 8
Quadro FX 1600M,G84,"Jun 1st, 2007",MXM-HE,"512 MB, GDDR3, 128 bit",625 MHz,800 MHz,32 / 16 / 8
Quadro FX 570M,G84,"Jun 1st, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 128 bit",475 MHz,700 MHz,32 / 16 / 8
GeForce 8400M G,G86,"May 9th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 64 bit",400 MHz,400 MHz,8 / 8 / 4
GeForce 8400M GS,G86,"May 9th, 2007",MXM-I,"256 MB, DDR2, 64 bit",400 MHz,400 MHz,16 / 8 / 4
GeForce 8400M GT,G86,"May 9th, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 128 bit",450 MHz,600 MHz,16 / 8 / 4
Quadro FX 360M,G86,"May 9th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",400 MHz,600 MHz,16 / 8 / 4
Quadro NVS 130M,G86,"May 9th, 2007",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",400 MHz,700 MHz,8 / 8 / 4
Quadro NVS 135M,G86,"May 9th, 2007",PCIe 2.0 x16,"256 MB, GDDR3, 64 bit",400 MHz,594 MHz,16 / 8 / 4
Quadro NVS 140M,G86,"May 9th, 2007",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",400 MHz,600 MHz,16 / 8 / 4
GeForce 8800 Ultra,G80,"May 2nd, 2007",PCIe 1.0 x16,"768 MB, GDDR3, 384 bit",612 MHz,1080 MHz,128 / 32 / 24
Tesla C870,G80,"May 2nd, 2007",PCIe 1.0 x16,"1536 MB, GDDR3, 384 bit",600 MHz,800 MHz,128 / 32 / 24
Tesla D870,G80,"May 2nd, 2007",PCIe 1.0 x16,"1536 MB, GDDR3, 384 bit",600 MHz,800 MHz,128 / 32 / 24
Tesla S870,G80,"May 2nd, 2007",PCIe 1.0 x16,"1536 MB, GDDR3, 384 bit",600 MHz,800 MHz,128 / 32 / 24
GeForce 8600M GS,G86,"May 1st, 2007",MXM-II,"512 MB, DDR2, 128 bit",450 MHz,400 MHz,16 / 8 / 4
GeForce 8600M GT,G84,"May 1st, 2007",MXM-II,"512 MB, GDDR3, 128 bit",475 MHz,700 MHz,32 / 16 / 8
Playstation Portable GPU 65nm,RE+SE-65nm,"Aug 30th, 2007",IGP,"2 MB, eDRAM, 512 bit",133 MHz,83 MHz,2 / 1 / 5 / 5
Playstation 2 GPU 65nm,EE+GS-65nm,"Jul 1st, 2007",IGP,"4 MB, eDRAM, 2560 bit",147 MHz,150 MHz,16 / 2 / 8 / 16
FireStream 9270,RV770,"Nov 13th, 2008",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",750 MHz,900 MHz,800 / 40 / 16
FireStream 9250,RV770,"Jun 16th, 2008",PCIe 2.0 x16,"1024 MB, GDDR3, 256 bit",625 MHz,993 MHz,800 / 40 / 16
Radeon HD 4730 OEM,RV670,"Dec 26th, 2008",PCIe 2.0 x16,"1024 MB, DDR2, 256 bit",669 MHz,396 MHz,320 / 16 / 16
Radeon HD 4570,RV710,"Nov 25th, 2008",PCIe 2.0 x16,"1024 MB, DDR2, 64 bit",650 MHz,500 MHz,80 / 8 / 4
Radeon HD 4850 X2,R700,"Nov 7th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",625 MHz,995 MHz,800 / 40 / 16
Radeon HD 4830,RV770,"Oct 21st, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",575 MHz,900 MHz,640 / 32 / 16
Radeon HD 3730,RV635,"Oct 5th, 2008",PCIe 2.0 x16,"512 MB, DDR2, 128 bit",722 MHz,396 MHz,120 / 8 / 4
Radeon HD 4350,RV710,"Sep 30th, 2008",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",600 MHz,400 MHz,80 / 8 / 4
Radeon HD 4350 AGP,RV710,"Sep 30th, 2008",AGP 8x,"512 MB, DDR3, 64 bit",600 MHz,650 MHz,80 / 8 / 4
Radeon HD 4350 PCI,RV710,"Sep 30th, 2008",PCI,"512 MB, DDR2, 64 bit",600 MHz,400 MHz,80 / 8 / 4
Radeon HD 4350 PCIe x1,RV710,"Sep 30th, 2008",PCIe 2.0 x1,"512 MB, DDR2, 64 bit",600 MHz,400 MHz,80 / 8 / 4
Radeon HD 4550,RV710,"Sep 30th, 2008",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",600 MHz,655 MHz,80 / 8 / 4
FirePro V3750,RV730,"Sep 11th, 2008",PCIe 2.0 x16,"256 MB, GDDR3, 128 bit",550 MHz,700 MHz,320 / 32 / 8
FirePro V8700,RV770,"Sep 11th, 2008",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",750 MHz,850 MHz,800 / 40 / 16
Radeon HD 3750,RV635,"Sep 11th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",796 MHz,693 MHz,120 / 8 / 4
Radeon HD 4650,RV730,"Sep 10th, 2008",PCIe 2.0 x16,"256 MB, GDDR3, 128 bit",600 MHz,700 MHz,320 / 32 / 8
Radeon HD 4650 AGP,RV730,"Sep 10th, 2008",AGP 8x,"512 MB, DDR2, 128 bit",600 MHz,400 MHz,320 / 32 / 8
Radeon HD 4670,RV730,"Sep 10th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",750 MHz,1000 MHz,320 / 32 / 8
Radeon HD 4670 X2,RV730,"Sep 10th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",750 MHz,700 MHz,320 / 32 / 8
Radeon HD 4710,RV730,"Sep 10th, 2008",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",750 MHz,800 MHz,320 / 32 / 8
Mobility Radeon HD 3870 X2,M88,"Sep 1st, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",660 MHz,850 MHz,320 / 16 / 16
Radeon 3100 Mobile IGP,RS780,"Aug 15th, 2008",PCIe 1.0 x16,System Shared,350 MHz,System Shared,40 / 4 / 4
